player_name,deck_name,event
Jurantokens,Blame Game,Liga Mesao Presencial
Zangalli,Blood Rites,Liga Mesao Presencial
Marcelo,Blood Rites,Liga Mesao Online
Gustavo Dias,Squirreled Away,Liga Mesao Presencial
Bueno,Abzan Armor,Liga Mesao Presencial
Brazza,Miracle Worker,Liga Mesao Presencial
Dellani,Veloci-Ramp-Tor,Liga Mesao Presencial
Berka,Death Toll,Liga Mesao Presencial
Vicente,Counter Blitz,Liga Online e 2x2
Sra Dellani,Mind Flayarrrs,Liga Mesao Presencial
Jorel,Scions & Spellcraft,Liga Mesao Presencial
Marlon,Timey-Wimey,Liga Mesao Online
Pinho(Dante),Death Toll,Liga Mesao Online
